,id,len_description,host_id,host_name,host_response_rate,host_acceptance_rate,host_verifications,neighbourhood_cleansed,latitude,longitude,room_type,bathrooms,bathrooms_text,amenities,price,number_of_reviews
97,7556348,1000,3362271,Céline,100%,91%,"['email', 'phone']",Sluizeken - Tolhuis - Ham,51.06449,3.72623,Private room,,1 shared bath,"[""Luggage dropoff allowed"", ""Cleaning products"", ""Shampoo"", ""Hot water kettle"", ""Smoke alarm"", ""Refrigerator"", ""Diverse  conditioner"", ""Hangers"", ""Bed linens"", ""Laundromat nearby"", ""Iron"", ""Hot water"", ""Paid parking on premises"", ""Wifi"", ""Free washer \u2013 In unit"", ""Host greets you"", ""First aid kit"", ""Hair dryer"", ""Dryer"", ""Paid parking off premises"", ""Essentials"", ""Shower gel"", ""Central heating"", ""Douchegel en shampoo  body soap"", ""Room-darkening shades"", ""Private entrance"", ""Bathtub"", ""Fire extinguisher"", ""Coffee maker"", ""Dishes and silverware"", ""Portable fans"", ""Mini fridge""]",$63.00,194
98,7568806,1000,39681783,Ben/Barbara,100%,99%,"['email', 'phone']",Binnenstad,51.05809,3.72714,Entire home/apt,,1.5 baths,"[""Elevator"", ""Luggage dropoff allowed"", ""Shampoo"", ""Changing table"", ""Smoke alarm"", ""Refrigerator"", ""Oven"", ""Crib"", ""Hangers"", ""Pack \u2019n play/Travel crib"", ""Bed linens"", ""Carbon monoxide alarm"", ""Dishwasher"", ""Pocket wifi"", ""Extra pillows and blankets"", ""Babysitter recommendations"", ""Free parking on premises"", ""Iron"", ""Hot water"", ""Patio or balcony"", ""Wifi"", ""Kitchen"", ""Cooking basics"", ""First aid kit"", ""Hair dryer"", ""Long term stays allowed"", ""Essentials"", ""Heating"", ""Microwave"", ""Stove"", ""Backyard"", ""Room-darkening shades"", ""High chair"", ""Children\u2019s dinnerware"", ""Children\u2019s books and toys"", ""Fire extinguisher"", ""Baby bath"", ""Coffee maker"", ""Dishes and silverware"", ""Breakfast""]",$115.00,583
99,7683600,1000,40352209,Filip,100%,98%,"['email', 'phone']",Binnenstad,51.05123,3.7253,Entire home/apt,,1 bath,"[""Luggage dropoff allowed"", ""Smoke alarm"", ""Refrigerator"", ""Dining table"", ""Oven"", ""Hangers"", ""Dedicated workspace"", ""Bed linens"", ""Laundromat nearby"", ""Cable TV"", ""Hot water"", ""TV with standard cable"", ""Paid parking garage off premises"", ""Wifi"", ""Kitchen"", ""Cooking basics"", ""Hair dryer"", ""Freezer"", ""Long term stays allowed"", ""Keypad"", ""Essentials"", ""Stove"", ""Microwave"", ""Cleaning before checkout"", ""Central heating"", ""Toaster"", ""Clothing storage: walk-in closet"", ""Room-darkening shades"", ""Private entrance"", ""Wine glasses"", ""Fire extinguisher"", ""Coffee maker"", ""Dishes and silverware"", ""Portable fans""]",$83.00,393
100,7705950,1000,28618260,Marijke,,,"['email', 'phone']",Oud Gentbrugge,51.04505,3.74735,Private room,,1 shared bath,"[""Shampoo"", ""Smoke alarm"", ""Hangers"", ""Washer"", ""Bed linens"", ""Free parking on premises"", ""Iron"", ""Hot water"", ""Indoor fireplace"", ""Patio or balcony"", ""Wifi"", ""Kitchen"", ""Cooking basics"", ""First aid kit"", ""Hair dryer"", ""Long term stays allowed"", ""Dryer"", ""Essentials"", ""Heating"", ""Waterfront"", ""TV"", ""Shower gel"", ""Fire extinguisher"", ""Dishes and silverware"", ""Free street parking""]",$50.00,6
101,7906845,259,7679698,Wim,100%,100%,"['email', 'phone', 'work_email']",Brugse Poort - Rooigem,51.06161,3.69804,Entire home/apt,,1.5 baths,"[""Luggage dropoff allowed"", ""Cleaning products"", ""Shampoo"", ""Hot water kettle"", ""Smoke alarm"", ""HDTV with Amazon Prime Video, Chromecast, premium cable, standard cable"", ""Refrigerator"", ""Oven"", ""Dining table"", ""Conditioner"", ""Outdoor dining area"", ""Hangers"", ""Bed linens"", ""Carbon monoxide alarm"", ""Dishwasher"", ""Pocket wifi"", ""Cable TV"", ""Extra pillows and blankets"", ""Laundromat nearby"", ""Iron"", ""Hot water"", ""BBQ grill"", ""Wifi"", ""Private fenced garden or backyard"", ""Sound system with aux"", ""Free washer \u2013 In unit"", ""Free dryer \u2013 In unit"", ""Kitchen"", ""Cooking basics"", ""First aid kit"", ""Hair dryer"", ""Freezer"", ""Long term stays allowed"", ""Essentials"", ""Microwave"", ""Rice maker"", ""Barbecue utensils"", ""Ethernet connection"", ""Paid street parking off premises"", ""Central heating"", ""Clothing storage: wardrobe, closet, and dresser"", ""Room-darkening shades"", ""Private entrance"", ""Wine glasses"", ""Outdoor furniture"", ""Private patio or balcony"", ""Drying rack for clothing"", ""Bathtub"", ""Fire extinguisher"", ""Coffee maker"", ""Dishes and silverware"", ""Baking sheet"", ""Lockbox"", ""Portable fans"", ""Mini fridge"", ""Gas stove""]",$135.00,78
102,7906941,1000,7679698,Wim,100%,100%,"['email', 'phone', 'work_email']",Brugse Poort - Rooigem,51.06162,3.69804,Entire home/apt,,1.5 baths,"[""Luggage dropoff allowed"", ""Cleaning products"", ""Shampoo"", ""Hot water kettle"", ""Smoke alarm"", ""HDTV with Amazon Prime Video, Chromecast, premium cable, standard cable"", ""Refrigerator"", ""Oven"", ""Dining table"", ""Hangers"", ""Bed linens"", ""Carbon monoxide alarm"", ""Dishwasher"", ""Pocket wifi"", ""Cable TV"", ""Extra pillows and blankets"", ""Laundromat nearby"", ""Iron"", ""Hot water"", ""BBQ grill"", ""Private fenced garden or backyard"", ""Free washer \u2013 In unit"", ""Free dryer \u2013 In unit"", ""Kitchen"", ""Cooking basics"", ""First aid kit"", ""Hair dryer"", ""Freezer"", ""Long term stays allowed"", ""Essentials"", ""Heating"", ""Microwave"", ""Stove"", ""Barbecue utensils"", ""Ethernet connection"", ""Paid street parking off premises"", ""Room-darkening shades"", ""Private entrance"", ""Wine glasses"", ""Children\u2019s dinnerware"", ""Outdoor furniture"", ""Private patio or balcony"", ""Clothing storage: closet, wardrobe, and dresser"", ""Drying rack for clothing"", ""Bathtub"", ""Body soap"", ""Fire extinguisher"", ""Coffee maker"", ""Dishes and silverware"", ""Baking sheet"", ""Outdoor dining area"", ""Lockbox"", ""Mini fridge"", ""Wifi \u2013 47 Mbps""]",$135.00,123
103,7918142,1000,12733830,Jelle,,100%,"['email', 'phone', 'work_email']",Brugse Poort - Rooigem,51.05387,3.69125,Entire home/apt,,1.5 baths,"[""Elevator"", ""Luggage dropoff allowed"", ""Hot water kettle"", ""Smoke alarm"", ""Refrigerator"", ""Dining table"", ""Oven"", ""Hangers"", ""Bed linens"", ""Pour-over coffee"", ""Free parking on premises"", ""Iron"", ""Hot water"", ""Wifi"", ""Host greets you"", ""Kitchen"", ""Cooking basics"", ""Hair dryer"", ""Freezer"", ""Paid parking off premises"", ""Single level home"", ""Stove"", ""Essentials"", ""Heating"", ""Private patio or balcony"", ""Wine glasses"", ""Bathtub"", ""Fire extinguisher"", ""Coffee maker"", ""Dishes and silverware"", ""Baking sheet"", ""Free street parking"", ""Mini fridge""]",$75.00,71
104,8077970,422,42670243,Herlinde,100%,94%,"['email', 'phone']",Watersportbaan - Ekkergem,51.05189,3.70813,Entire home/apt,,1 bath,"[""Cleaning products"", ""Shampoo"", ""Hot water kettle"", ""Smoke alarm"", ""Wifi \u2013 38 Mbps"", ""Refrigerator"", ""Oven"", ""Dining table"", ""Hangers"", ""Dedicated workspace"", ""Bed linens"", ""Pocket wifi"", ""Extra pillows and blankets"", ""Iron"", ""Hot water"", ""TV with Chromecast"", ""Clothing storage: wardrobe and closet"", ""Free dryer \u2013 In unit"", ""Host greets you"", ""Kitchen"", ""Cooking basics"", ""Hair dryer"", ""Paid parking off premises"", ""Heating"", ""Essentials"", ""Microwave"", ""Stove"", ""Shower gel"", ""Room-darkening shades"", ""Private entrance"", ""Drying rack for clothing"", ""Bathtub"", ""Body soap"", ""Fire extinguisher"", ""Coffee maker"", ""Dishes and silverware"", ""Portable fans""]",$80.00,54
105,8286855,1000,10631375,Inge,100%,93%,"['email', 'phone']",Muide - Meulestede - Afrikalaan,51.06404,3.73616,Entire home/apt,,1 bath,"[""Free parking on premises"", ""Kitchen"", ""Cooking basics"", ""Hair dryer"", ""Wifi"", ""Lockbox"", ""Bathtub"", ""Body soap"", ""Dishes and silverware"", ""Essentials"", ""Bed linens"", ""Heating""]",$105.00,62
106,8338763,741,43955111,Stijn En Edith,,0%,"['email', 'phone']",Brugse Poort - Rooigem,51.06295,3.70238,Private room,,1 bath,"[""Shampoo"", ""Smoke alarm"", ""Essentials"", ""Long term stays allowed"", ""Wifi"", ""Heating"", ""TV""]",$75.00,19
